"BehaviorSpace results (NetLogo 6.3.0)"
"Resin dummy.nlogo"
"experiment"
"07/11/2023 12:05:31:743 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","degree-of-cognition","rb","#levels","seed","#subgroups","average-node-degree","world-over-neighbors","rewiring-proportion","degree-of-homophily","update-appearance?","hide-people?","color-communities-louvain?","static-seed?","write-attitudes-to-file?","#items","population-size","[step]","mean [mean-individual-internal-consistency] of people"
"177","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.44180555938953175"
"159","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.4290828767312957"
"178","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.3341983778123102"
"179","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.33081269523776735"
"180","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","4","1000","250","0.4596967740434347"
"160","whole-world","0","3","4","1","30","50","0","0","false","true","false","false","false","10","1000","250","0.3494456447003821"
"181","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.27754913690205374"
"182","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.5323042923072251"
"183","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.5564005573775327"
"185","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.33627381260512174"
"184","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.28833475123423086"
"186","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.38853208221417357"
"187","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.3323319177070681"
"188","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.4565170933351838"
"189","whole-world","0","4","4","1","30","50","0","0","false","true","false","false","false","5","1000","250","0.3962674959054224"
